question|answer
How do stimulant medications work to treat ADHD?|Stimulant medications work by raising levels of dopamine in the brain, which helps improve focus and attention -- skills that people with ADHD often find difficult to master.
What are the side effects of taking tricyclic anti-depressants to treat ADHD?|The most common side effects of tricyclics include: An overdose can be deadly. Tricyclics have the potential to cause certain heart defects as well; consider seeing a doctor for ECG tests to look for these problems. - Stomach upset - Constipation - Dry mouth - Blurred vision - Drowsiness - Low blood pressure - Weight gain - Tremors - Sweating - Trouble peeing
Can adults have ADHD?|ADHD doesn't only affect children. Adults can have this condition, too. ADHD can make it hard for adults to pay attention, control their emotions, and finish tasks.
What are the risks associated with impulsivity?|Impulsivity can lead to accidents, like knocking over objects or banging into people. Children with ADHD may also do risky things without stopping to think about the consequences. For instance, they may climb too high and put themselves in danger.
How do you treat adult ADHD symptoms?|You can treat the symptoms of adult ADHD with medications, counseling, or both. You'll work with your doctor to figure out what's best for you. ADHD is different for everyone, so there's no one treatment for all. Your treatment plan will depend on lots of things, including how the disorder affects your life, other conditions you might have, and any medications you take for them.
Who can diagnose ADHD?|Health care providers, such as pediatricians, psychiatrists, and child psychologists, can diagnose ADHD with the help of standard guidelines from the American Academy of Pediatrics or the American Psychiatric Association's Diagnostic and Statistical Manual (DSM).
How can testosterone and anabolic steroids help with treating AIDS wasting syndrome?|Testosterone and anabolic steroids may help you build muscle, but because they're related to sex hormones, they can cause male infertility or irregular periods. They can also lower your good cholesterol (HDL).
What are side effects of antiretroviral (ARV) in the treatment for human immunodeficiency virus (HIV)?|Antiretroviral, or anti-HIV drugs, must be taken at the right time, every single day. If you don't, the virus can change into a strain that is harder to treat. Most people tolerate these drugs very well. But they can cause side effects, including: - Diarrhea and nausea - Rash or yellowing skin - Strange dreams or insomnia - Dizziness, weak muscles, or trouble concentrating - Losing or gaining body fat - High cholesterol and heart problems - Brittle bones
Do mosquitoes spread HIV?|Because HIV is passed through blood, people have worried that they could get the virus from biting or bloodsucking insects. Several studies show that doesn't happen -- even in areas with lots of mosquitoes and cases of HIV. When bugs bite, they don't inject the blood of the person or animal they bit before you. Also, HIV lives for only a short time inside them.
What HIV/AIDS drugs cause lactic acidosis?|Lactic acidosis leads to high levels of acid in the blood, which can be fatal. It can happen when you take NRTIs.
What is human immunodeficiency virus (HIV) viral load test used for?|Your viral load gives you an idea of how much of the HIV virus is in your body. It also can be used as a test to help diagnose HIV in your results from an HIV antibody test was inconclusive. Keeping your viral load low will make complications of HIV less likely and help you live longer.
What is AIDS wasting syndrome?|AIDS wasting syndrome isn't a specific disease. Someone with AIDS is said to have it when they've lost at least 10% of their body weight, especially muscle. They may have also had diarrhea for at least a month, or extreme weakness and fever that's not related to an infection.
How many carbohydrates should I eat if I have HIV?|Carbohydrates give you energy. To get enough of the right types of carbohydrates, eat five to six servings (about 3 cups) of fruits and vegetables each day.
How can I know if I have HIV?|There are several types of tests that screen blood (and sometimes saliva) to see if you are infected with HIV. Newer tests can detect the presence of HIV antigen, a protein, up to 20 days earlier than standard tests. This helps prevent spread of the virus to others and start treatment earlier. It is done with a pinprick to the finger.
What are monovision lenses?|Monovision is when you don't have the same prescription in both eyes. One has a contact for distance vision, and the other is for seeing up close. This can take a while to get used to. Each eye works on its own -- that makes it harder for them to work together. You might have problems with depth perception, and that can make it hard to drive. Another monovision option is to wear a bifocal lens in one eye, and a single-vision lens in the other. That can make driving easier.
What are daily disposables?|Daily disposables are soft contacts that you wear only for a day and then throw away. That means you don’t have to clean them regularly or risk dry eyes and irritation from contact solutions. If you have allergies, they may be the best choice for you.
What are risks of soft contact lenses?|Soft contacts absorb pollutants more easily than both hard and rigid gas-permeable lenses. They soak up all kinds of things that can irritate your eyes -- smoke and sprays in the air and lotion or soap on your hands. Soft contacts are also more fragile. They can rip or tear more easily than hard or gas-permeable lenses.
What is night blindness?|You have night blindness when you have trouble seeing in dim or darkened conditions. It may result from a lack of vitamin A. In rare cases, it’s a sign of retinitis pigmentosa.
What should you do if your eye twitch doesn’t go away?|It’s rare, but if your twitch doesn’t go away, it might make you wink or squint all the time. If you can’t keep your eyes open, it’s going to be hard for you to see.
Are there different types of Duane syndrome (DS)?|There are three types of Duane syndrome: - Type 1: People with this form aren't able to move their affected eye out toward their ear. This is the most common kind of DS. - Type 2: The affected eye can't move inward toward the nose. - Type 3: The eye can't move outward or inward.
How is keratoconus treated?|Cornea cross-linking is a powerful procedure that can strengthen the weakened collagen fibers of the cornea (which is the cause of keratoconus) and stop it from getting worse. Also Intacs are very small clear plastic arcs that are designed to be inserted into the substance of the cornea in people who have keratoconus and who can no longer see properly with glasses or contact lens.
What are beta-blockers?|Beta-blockers are medicated eye drops that treat glaucoma. They cause your eye to makes less aqueous humor, which lowers pressure inside it.
What is the role of environment in the development of eczema?|- Children are more likely to develop eczema if they: Are in higher social classes - Live in urban areas with higher levels of pollution - Live in colder climates
What is venous stasis dermatitis?|Venous stasis dermatitis happens when there's a problem with your veins, usually in your lower legs, that keeps blood from moving through very well. As more fluid and pressure build, some of the blood leaks out of your veins and into your skin.
What causes venous stasis dermatitis?|The veins in your legs have one-way valves that help blood move through. Their job is to push blood up your legs. As you get older or have other health problems, the valves may not work like they should. This is called venous insufficiency.
